"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"D7UXTAEL","bookSection","2020","Pappas, Maria L.; Baptista, Paula; Broufas, George D.; Dalakouras, Athanasios; Djobbi, Wafa; Flors, Victor; Guerfali, Meriem Msaad; Khayi, Slimane; Mentag, Rachid; Pastor, Victoria; Pereira, José Alberto; Sánchez-Bel, Paloma; Papadopoulou, Kalliope","Biological and Molecular Control Tools in Plant Defense","Plant Defence: Biological Control","978-3-030-51033-6 978-3-030-51034-3","","","http://link.springer.com/10.1007/978-3-030-51034-3_1","","2020","2020-10-23 10:11:17","2020-10-23 10:11:17","2020-10-23 10:11:17","3-43","","","22","","","","","","","","Springer International Publishing","Cham","en","","","","","Crossref","","Series Title: Progress in Biological Control DOI: 10.1007/978-3-030-51034-3_1","","","","","","Mérillon, Jean-Michel; Ramawat, Kishan Gopal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7FI3E58","journalArticle","2020","Lahlali, Rachid; Mchachti, Ouafae; Radouane, Nabil; Ezrari, Said; Belabess, Zineb; Khayi, Slimane; Mentag, Rachid; Tahiri, Abdessalem; Barka, Essaid Ait","The Potential of Novel Bacterial Isolates from Natural Soil for the Control of Brown Rot Disease (Monilinia fructigena) on Apple Fruits","Agronomy","","2073-4395","10.3390/agronomy10111814","https://www.mdpi.com/2073-4395/10/11/1814","","2020-11-18","2020-11-20 08:02:00","2020-11-20 08:02:00","2020-11-20 08:02:00","1814","","11","10","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\workstation_bioinfo\Zotero\storage\SJWBIBHL\Lahlali et al. - 2020 - The Potential of Novel Bacterial Isolates from Nat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EYTSFW4J","journalArticle","2021","Bamouh, Zahra; Hamdi, Jihane; Fellahi, Siham; Khayi, Slimane; Jazouli, Mohammed; Tadlaoui, Khalid Omari; Fihri, Ouafaa Fassi; Tuppurainen, Eeva; Elharrak, Mehdi","Investigation of Post Vaccination Reactions of Two Live Attenuated Vaccines against Lumpy Skin Disease of Cattle","Vaccines","","","10.3390/vaccines9060621","https://www.mdpi.com/2076-393X/9/6/621","Lumpy skin disease virus (LSDV) causes an economically important disease in cattle. The only method for successful control is early diagnosis and efficient vaccination. Adverse effects of vaccination such as local inflammation at the injection site and localized or generalized skin lesions in some vaccinated animals have been reported with live vaccines. The aim of this work was to compare the safety of two lumpy skin disease (LSD) vaccine strains, Kenyan (Kn) Sheep and Goat Pox (KSGP O-240) and LSDV Neethling (Nt) strain, and to determine the etiology of the post-vaccination (pv) reactions observed in cattle. Experimental cattle were vaccinated under controlled conditions with Nt- and KSGP O-240-based vaccines, using two different doses, and animals were observed for 3 months for any adverse reactions. Three out of 45 cattle vaccinated with LSDV Nt strain (6.7%) and three out of 24 cattle vaccinated with Kn strain (12.5%) presented LSD-like skin nodules, providing evidence that the post-vaccination lesions may not be strain-dependent. Lesions appeared 1–3 weeks after vaccination and were localized in the neck or covering the whole body. Animals recovered after 3 weeks. There is a positive correlation between the vaccine dose and the appearance of skin lesions in vaccinated animals; at the 105 dose, 12% of the animals reacted versus 3.7% at the 104 dose. Both strains induced solid immunity when protection was measured by neutralizing antibody seroconversion.","2021-06","2021-06-25 15:27:17","2021-06-25 15:27:17","2021-06-25 15:27:17","621","","6","9","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 6 Publisher: Multidisciplinary Digital Publishing Institute","","C:\Users\workstation_bioinfo\Zotero\storage\V33R6K9X\Bamouh et al. - 2021 - Investigation of Post Vaccination Reactions of Two.pdf; C:\Users\workstation_bioinfo\Zotero\storage\PBZCPIXE\621.html","","","cattle; lumpy skin disease virus; Neethling disease; safety; vaccination","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82YGJZLA","journalArticle","2020","Blin, Pauline; Robic, Kévin; Khayi, Slimane; Cigna, Jérémy; Munier, Euphrasie; Dewaegeneire, Pauline; Laurent, Angélique; Jaszczyszyn, Yan; Hong, Kar-Wai; Chan, Kok-Gan; Beury, Amélie; Reverchon, Sylvie; Giraud, Tatiana; Hélias, Valérie; Faure, Denis","Pattern and causes of the establishment of the invasive bacterial potato pathogen Dickeya solani and of the maintenance of the resident pathogen D. dianthicola","Molecular Ecology","","1365-294X","10.1111/mec.15751","https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.15751","Invasive pathogens can be a threat when they affect human health, food production or ecosystem services, by displacing resident species, and we need to understand the cause of their establishment. We studied the patterns and causes of the establishment of the pathogen Dickeya solani that recently invaded potato agrosystems in Europe by assessing its invasion dynamics and its competitive ability against the closely related resident D. dianthicola species. Epidemiological records over one decade in France revealed the establishment of D. solani and the maintenance of the resident D. dianthicola in potato fields exhibiting blackleg symptoms. Using experimentations, we showed that D. dianthicola caused a higher symptom incidence on aerial parts of potato plants than D. solani, while D. solani was more aggressive on tubers (i.e. with more severe symptoms). In co-infection assays, D. dianthicola outcompeted D. solani in aerial parts, while the two species co-existed in tubers. A comparison of 76 D. solani genomes (56 of which have been sequenced here) revealed balanced frequencies of two previously uncharacterized alleles, VfmBPro and VfmBSer, at the vfmB virulence gene. Experimental inoculations showed that the VfmBSer population was more aggressive on tubers, while the VfmBPro population outcompeted the VfmBSer population in stem lesions, suggesting an important role of the vfmB virulence gene in the ecology of the pathogens. This study thus brings novel insights allowing a better understanding of the pattern and causes of the D.solani invasion into potato production agrosystems, and the reasons why the endemic D. dianthicola nevertheless persisted.","2020","2021-06-25 15:30:44","2021-06-25 15:31:11","2021-06-25 15:30:44","608-624","","2","30","","","","","","","","","","en","© 2020 John Wiley & Sons Ltd","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/mec.15751","","C:\Users\workstation_bioinfo\Zotero\storage\U5SHHC29\mec.html","","","Dickeya; competitive exclusion; invasion; plant pathogens; population genomics; quorum-sensing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VKEMINYH","journalArticle","2021","Ennami, Mounia; Mbasani-Mansi, Joseph; Idrissi-Azami, Abdellah; Khayi, Slimane; Diria, Ghizlan; Abdelwahd, Rabha; Lage, Mounira; Mentag, Rachid","Genetic diversity and population structure of saffron (Crocus sativus L.) in Morocco re- vealed by SRAP Markers.","","","","","","Saffron (Crocus sativus L.) is one of the most expensive spices in the world. Saffron has many uses, which are based on color, aroma, and taste. This spice is mainly used in food industry and in kitchen as a food dye. It is also used as a drug in traditional medicine. In this study, genetic diversity among 76 saffron accessions collected from 13 localities of Taliouin region of Morocco, were evaluated using sequence-related amplified polymorphism (SRAP) markers. A total of 63 polymorphic fragments were produced with an average of total number and polymorphic bands per primer were 10.5 and 10.16 respectively. Most of the variations among the 13 localities, revealed by Analysis of Molecular Variance, originated from the within accessions differentiation (81 %; p<0.010). Cluster Analysis, Principal Coordinate Analysis (PCoA), and Population Structure confirmed the main groups and corroborated genetic homogeneity across accessions. In fact, despite their geographical localities, close relationships were revealed between accessions from different locations, showing that there was no relationship between genetic divergence and geographical locality. The results confirmed that the SRAP markers seam more trustworthy, as they have the highest average discriminating power among the other marker systems.","2021","2021-07-12 10:05:27","2021-07-12 10:05:27","","24","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\workstation_bioinfo\Desktop\Downloads\horticulturae-1273267.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UM5AK4RD","journalArticle","2021","Bamouh, Zahra; Fellahi, Siham; Khayi, Slimane; Hamdi, Jihane; Tadlaoui, Khalid Omari; Fassi-Fihri, Ouafaa; Elharrak, M","Draft Genome Sequence of the Capripoxvirus KSGP 0240 vaccine Strain reisolated from cattle","","","","","","","2021","2021-07-12 13:03:10","2021-07-12 15:08:37","","4","","","","","Microbiol Resour Announc","","","","","","","","en","","","","","Zotero","","","","C:\Users\workstation_bioinfo\Desktop\Downloads\MRA00440-21R3-Manuscript_Text_File.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3AXEDNQL","journalArticle","2021","Bkiri, Dounia; Fellahi, Siham; Khayi, Slimane; Omari Tadlaoui, Khalid; Fassi Fihri, Ouafaa; El Harrak, Mehdi","Genome Sequence of <i>Mannheimia haemolytica</i> MHA.Sh.MOR19 Serotype 1, a Moroccan Sheep Isolate","Microbiology Resource Announcements","","2576-098X","10.1128/MRA.00359-21","https://journals.asm.org/doi/10.1128/MRA.00359-21","Mannheimia haemolytica               is the principle bacterial pathogen in ruminants associated with respiratory disease. Here, we report the draft genome sequence of the               Mannheimia haemolytica               MHA.Sh.MOR19 strain that was recently isolated in the northwest of Morocco from the lung of a lamb with pneumonia that died. The genome size is 2,434,458 bp.                        ,              ABSTRACT                            Mannheimia haemolytica               is the principle bacterial pathogen in ruminants associated with respiratory disease. Here, we report the draft genome sequence of the               Mannheimia haemolytica               MHA.Sh.MOR19 strain that was recently isolated in the northwest of Morocco from the lung of a lamb that died from pneumonia. The genome size is 2,434,458 bp.","2021-05-27","2021-07-12 15:04:34","2021-07-12 15:04:34","2021-07-12 15:04:34","","","21","10","","Microbiol Resour Announc","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\workstation_bioinfo\Zotero\storage\GHYFNNQN\Bkiri et al. - 2021 - Genome Sequence of Mannheimia haemolytica M.pdf","","","","Putonti, Catherine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNHPVUZS","journalArticle","2021","Oulghazi, Said; Sarfraz, Sohaib; Zaczek-Moczydłowska, Maja A.; Khayi, Slimane; Ed-Dra, Abdelaziz; Lekbach, Yassir; Campbell, Katrina; Novungayo Moleleki, Lucy; O’Hanlon, Richard; Faure, Denis","Pectobacterium brasiliense: Genomics, Host Range and Disease Management","Microorganisms","","2076-2607","10.3390/microorganisms9010106","https://www.mdpi.com/2076-2607/9/1/106","Pectobacterium brasiliense (Pbr) is considered as one of the most virulent species among the Pectobacteriaceae. This species has a broad host range within horticulture crops and is well distributed elsewhere. It has been found to be pathogenic not only in the field causing blackleg and soft rot of potato, but it is also transmitted via storage causing soft rot of other vegetables. Genomic analysis and other cost-effective molecular detection methods such as a quantitative polymerase chain reaction (qPCR) are essential to investigate the ecology and pathogenesis of the Pbr. The lack of fast, field deployable point-of-care testing (POCT) methods, specific control strategies and current limited genomic knowledge make management of this species difficult. Thus far, no comprehensive review exists about Pbr, however there is an intense need to research the biology, detection, pathogenicity and management of Pbr, not only because of its fast distribution across Europe and other countries but also due to its increased survival to various climatic conditions. This review outlines the information available in peer-reviewed literature regarding host range, detection methods, genomics, geographical distribution, nomenclature and taxonomical evolution along with some of the possible management and control strategies. In summary, the conclusions and a further directions highlight the management of this species.","2021-01-05","2021-07-12 15:07:34","2021-07-12 15:07:34","2021-07-12 15:07:34","106","","1","9","","Microorganisms","Pectobacterium brasiliense","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\workstation_bioinfo\Zotero\storage\U9V8SJKP\Oulghazi et al. - 2021 - Pectobacterium brasiliense Genomics, Host Range a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENIYLGDE","journalArticle","2020","Khayi, Slimane; Azza, Nour Elhouda; Gaboun, Fatima; Pirro, Stacy; Badad, Oussama; Claros, M. Gonzalo; Lightfoot, David A.; Unver, Turgay; Chaouni, Bouchra; Merrouch, Redouane; Rahim, Bouchra; Essayeh, Soumaya; Ganoudi, Matika; Abdelwahd, Rabha; Diria, Ghizlane; Mdarhi, Meriem Alaoui; Labhilili, Mustapha; Iraqi, Driss; Mouhaddab, Jamila; Sedrati, Hayat; Memari, Majid; Hamamouch, Noureddine; Alché, Juan de Dios; Boukhatem, Noureddine; Mrabet, Rachid; Dahan, Rachid; Legssyer, Adelkhaleq; Khalfaoui, Mohamed; Badraoui, Mohamed; Van de Peer, Yves; Tatusova, Tatiana; El Mousadik, Abdelhamid; Mentag, Rachid; Ghazal, Hassan","First draft genome assembly of the Argane tree (Argania spinosa)","F1000Research","","2046-1402","10.12688/f1000research.15719.2","https://f1000research.com/articles/7-1310/v2","Background:               The Argane tree (               Argania spinosa               L. Skeels) is an endemic tree of mid-western Morocco that plays an important socioeconomic and ecologic role for a dense human population in an arid zone. Several studies confirmed the importance of this species as a food and feed source and as a resource for both pharmaceutical and cosmetic compounds. Unfortunately, the argane tree ecosystem is facing significant threats from environmental changes (global warming, over-population) and over-exploitation. Limited research has been conducted, however, on argane tree genetics and genomics, which hinders its conservation and genetic improvement.                                         Methods:               Here, we present a draft genome assembly of               A. spinosa               . A reliable reference genome of                A. spinosa                was created using a hybrid                de novo               assembly approach combining short and long sequencing reads.                                         Results:               In total, 144 Gb Illumina HiSeq reads and 7.6 Gb PacBio reads were produced and assembled. The final draft genome comprises 75 327 scaffolds totaling 671 Mb with an N50 of 49 916 kb. The draft assembly is close to the genome size estimated by               k               -mers distribution and covers 89% of complete and 4.3 % of partial               Arabidopsis               orthologous groups in BUSCO.                                         Conclusion:               The               A. spinosa               genome will be useful for assessing biodiversity leading to efficient conservation of this endangered endemic tree. Furthermore, the genome may enable genome-assisted cultivar breeding, and provide a better understanding of important metabolic pathways and their underlying genes for both cosmetic and pharmacological.","2020-05-04","2021-07-28 12:00:48","2021-07-28 12:00:48","2021-07-28 12:00:48","1310","","","7","","F1000Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\workstation_bioinfo\Zotero\storage\A57NZJQC\Khayi et al. - 2020 - First draft genome assembly of the Argane tree (Ar.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPNSTNNW","bookSection","2021","Ghazal, Hassan; Badad, Oussama; Zaid, Houcine; Tatusova, Tatiana; Pirro, Stacy; Khayi, Slimane; Gaboun, Fatima; Aberkani, Kamal; El Finti, Aissam; Kinsel, Mary; Zahidi, Abdelaziz; Ait Aabd, Naima; Mouhaddab, Jamila; Msanda, Fouad; Idrissi Azami, Abdellah; Mentag, Rachid; El Mousadik, Abdelhamid","Argane Genetics and Genomics","Oil Crop Genomics","978-3-030-70419-3 978-3-030-70420-9","","","https://link.springer.com/10.1007/978-3-030-70420-9_7","","2021","2021-09-27 10:12:24","2021-09-27 10:12:24","2021-09-27 10:12:24","123-134","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-030-70420-9_7","","F:\Bibioigraphy_zotero\Ghazal et al 2021_Chapter_ArganeGeneticsAndGenomics_Book Spriner Oil Crop Genomics.pdf","","","","Tombuloglu, Huseyin; Unver, Turgay; Tombuloglu, Guzin; Hakeem, Khalid Rehman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9CXJDRM3","journalArticle","2021","Khayi, Slimane; Armitage, Andrew D.; El Guilli, Mohammed; Meftah Kadmiri, Issam; Lahlali, Rachid; Fokar, Mohamed; Mentag, Rachid","Complete mitochondrial genome and phylogeny of the causal agent of Bayoud disease on date palm, Fusarium oxysporum f. sp. albedinis","Mitochondrial DNA Part B","","2380-2359","10.1080/23802359.2021.1978894","https://www.tandfonline.com/doi/full/10.1080/23802359.2021.1978894","","2021-10-03","2021-09-27 10:13:13","2021-09-27 10:13:29","2021-09-27 10:13:13","3059-3061","","10","6","","Mitochondrial DNA Part B","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BIRNJKZ","journalArticle","2020","Gou, Xiangjian; Shi, Haoran; Yu, Shifan; Wang, Zhiqiang; Li, Caixia; Liu, Shihang; Ma, Jian; Chen, Guangdeng; Liu, Tao; Liu, Yaxi","SSRMMD: A Rapid and Accurate Algorithm for Mining SSR Feature Loci and Candidate Polymorphic SSRs Based on Assembled Sequences","Frontiers in Genetics","","1664-8021","10.3389/fgene.2020.00706","https://www.frontiersin.org/article/10.3389/fgene.2020.00706/full","","2020-07-27","2021-10-26 10:05:43","2021-10-26 10:05:43","2021-10-26 10:05:43","706","","","11","","Front. Genet.","SSRMMD","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\workstation_bioinfo\Zotero\storage\ZBJKX5XP\Gou et al. - 2020 - SSRMMD A Rapid and Accurate Algorithm for Mining .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56DXS9N4","journalArticle","2021","Semmate, Noha; Boumart, Zineb; Bamouh, Zahra; Khayi, Slimane; Omari Tadlaoui, Khalid; Fellahi, Siham; El Harrak, Mehdi","Draft Genome Sequence of Pasteurella multocida Serotype A Strain MOR19, Isolated in Morocco","Microbiology Resource Announcements","","2576-098X","10.1128/MRA.00867-21","https://journals.asm.org/doi/10.1128/MRA.00867-21","Pasteurella multocida               causes pneumonia in large ruminants. In this study, we determined the genome sequence of the capsular serotype A               Pasteurella multocida               strain MOR19, isolated from a calf that died from acute pneumonia.                        ,              ABSTRACT                            Pasteurella multocida               causes pneumonia in large ruminants. In this study, we determined the genome sequence of the capsular serotype A               Pasteurella multocida               strain MOR19, isolated from a calf that died from acute pneumonia.","2021-10-14","2021-11-24 12:59:49","2021-11-24 12:59:49","2021-11-24 12:59:49","e00867-21","","41","10","","Microbiol Resour Announc","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\workstation_bioinfo\Zotero\storage\6REX3YFU\Semmate et al. - 2021 - Draft Genome Sequence of Pasteurella multocida Ser.pdf","","","","Dunning Hotopp, Julie C.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HRZZCRTM","journalArticle","2021","Zelmat, Lamyaa; Mansi, Joseph Mbasani; Aouzal, Sarra; Gaboun, Fatima; Khayi, Slimane; Ibriz, Mohammed; El Guilli, Mohammed; Mentag, Rachid","Genetic Diversity and Population Structure of Moroccan Isolates Belong to Alternaria spp. Causing Black Rot and Brown Spot in Citrus","International Journal of Genomics","","2314-4378, 2314-436X","10.1155/2021/9976969","https://www.hindawi.com/journals/ijg/2021/9976969/","Alternaria alternata is one of the most important fungi causing various diseases on citrus worldwide. In Morocco, Alternaria black rot (ABR) and Alternaria brown spot (ABS) are two major diseases causing serious losses in commercial cultivars of citrus. The aim of the present work was to study the genetic diversity and the population structure of isolates belonging to sect. Alternaria obtained from infected citrus fruits, collected from seven provinces at different locations in Morocco (markets, packinghouses, and orchards). Forty-five isolates were analyzed by sequence-related amplified polymorphism (SRAP) markers, and cluster analysis of DNA fragments was performed using UPGMA method and Jaccard coefficient. Cluster analysis revealed that isolates were classified in four distinct groups. AMOVA revealed also a large extent of variation within sect. Alternaria isolates (99%). The results demonstrate that no correlation was found among SRAP pattern, host, and geographical origin of these isolates. Population structure analyses showed that the Alternaria isolates from the same collection origin had almost a similar level of admixture.","2021-11-23","2021-11-24 13:14:11","2021-11-24 13:14:11","2021-11-24 13:14:11","1-11","","","2021","","International Journal of Genomics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","Ferrante, Antonio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
